repeat_id,algorithm_name,search_mode,job_id,gpu_need,combo,predicted_standalone_bw,predicted_final_bw,real_standalone_bw,real_final_bw,real_contention_ratio,real_cluster_throughput,num_active_jobs
15,BandDisp,model_prediction,3,10,"[3,5,2,0]",70.5160140991211,70.5160140991211,69.94,69.94,1.0,751.8,4
15,BandDisp,model_prediction,4,10,"[1,1,0,8]",234.8,45.045873545417784,39.33,21.60684451359019,0.549373112473689,741.89,5
16,BandDisp,model_prediction,0,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,244.7,1
16,BandDisp,model_prediction,1,14,"[0,6,0,8]",142.15469360351562,142.15469360351562,148.44,148.44,1.0,393.14,2
16,BandDisp,model_prediction,2,12,"[4,0,8,0]",138.64686584472656,138.64686584472656,141.27,141.27,1.0,534.41,3
16,BandDisp,model_prediction,3,2,"[0,2,0,0]",205.74,205.74,204.92,204.92,1.0,739.3299999999999,4
17,BandDisp,model_prediction,0,12,"[8,0,0,4]",138.87652587890625,138.87652587890625,141.27,141.27,1.0,141.27,1
17,BandDisp,model_prediction,1,2,"[0,2,0,0]",206.97,206.97,204.92,204.92,1.0,346.19,2
17,BandDisp,model_prediction,2,6,"[0,6,0,0]",230.14,230.14,232.24,232.24,1.0,578.4300000000001,3
17,BandDisp,model_prediction,3,2,"[0,0,2,0]",205.58,205.58,204.92,204.92,1.0,783.35,4
17,BandDisp,model_prediction,4,2,"[0,0,2,0]",206.46,206.46,204.92,204.92,1.0,988.27,5
17,BandDisp,model_prediction,5,6,"[0,0,4,2]",72.16067504882812,31.673128803979257,71.27,32.61036746024277,0.45756092970734913,944.2499999999999,6
17,BandDisp,model_prediction,6,2,"[0,0,0,2]",206.61,206.61,204.92,204.92,1.0,1149.1699999999998,7
18,BandDisp,model_prediction,0,12,"[8,0,0,4]",138.87652587890625,138.87652587890625,141.27,141.27,1.0,141.27,1
18,BandDisp,model_prediction,1,2,"[0,2,0,0]",206.97,206.97,204.92,204.92,1.0,346.19,2
18,BandDisp,model_prediction,2,12,"[0,0,8,4]",138.58026123046875,43.82523954476575,141.27,44.93,0.3180434628725136,294.78,3
18,BandDisp,model_prediction,3,4,"[0,4,0,0]",242.96,242.96,244.7,244.7,1.0,539.48,4
18,BandDisp,model_prediction,4,2,"[0,2,0,0]",204.8,204.8,204.92,204.92,1.0,744.4,5
19,BandDisp,model_prediction,0,12,"[8,0,0,4]",138.87652587890625,138.87652587890625,141.27,141.27,1.0,141.27,1
19,BandDisp,model_prediction,1,14,"[0,3,7,4]",89.97787475585938,20.713701066317057,77.23,23.345727688787186,0.3022883295194508,66.05000000000001,2
19,BandDisp,model_prediction,2,6,"[0,5,1,0]",227.41,69.43006834786178,39.38,33.40258811422691,0.848211988680216,99.45258811422693,3
0,Default,model_prediction,0,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,232.24,1
0,Default,model_prediction,1,10,"[1,8,0,1]",233.05,233.05,39.33,39.33,1.0,271.57,2
0,Default,model_prediction,2,2,"[2,0,0,0]",206.5,206.5,204.92,204.92,1.0,476.49,3
0,Default,model_prediction,3,2,"[0,0,2,0]",112.91,112.91,204.92,204.92,1.0,681.41,4
0,Default,model_prediction,4,2,"[0,0,0,2]",129.54,129.54,204.92,204.92,1.0,886.3299999999999,5
0,Default,model_prediction,5,2,"[0,0,0,2]",206.18,206.18,204.92,204.92,1.0,1091.25,6
0,Default,model_prediction,6,6,"[5,0,0,1]",229.44,39.093994784642305,39.38,29.148504637276073,0.7401854910430693,1110.18,7
0,Default,model_prediction,7,2,"[0,0,0,2]",117.91,117.91,204.92,204.92,1.0,1315.1000000000001,8
1,Default,model_prediction,0,4,"[0,0,4,0]",242.63,242.63,244.7,244.7,1.0,244.7,1
1,Default,model_prediction,1,12,"[1,3,0,8]",40.13141632080078,40.13141632080078,40.94,40.94,1.0,285.64,2
1,Default,model_prediction,2,2,"[0,0,2,0]",206.21,206.21,204.92,204.92,1.0,490.55999999999995,3
1,Default,model_prediction,3,4,"[4,0,0,0]",243.63,243.63,244.7,244.7,1.0,735.26,4
1,Default,model_prediction,4,6,"[1,5,0,0]",226.52,65.1634021800097,39.38,25.092983067729087,0.6372011952191236,745.4999999999999,5
1,Default,model_prediction,5,2,"[0,0,2,0]",112.91,112.91,204.92,204.92,1.0,950.4199999999998,6
1,Default,model_prediction,6,2,"[2,0,0,0]",205.23,205.23,204.92,204.92,1.0,1155.34,7
2,Default,model_prediction,0,6,"[0,0,6,0]",228.09,228.09,232.24,232.24,1.0,232.24,1
2,Default,model_prediction,1,6,"[0,6,0,0]",228.45,228.45,232.24,232.24,1.0,464.48,2
2,Default,model_prediction,2,4,"[0,0,0,4]",242.9,242.9,244.7,244.7,1.0,709.1800000000001,3
2,Default,model_prediction,3,12,"[8,1,1,2]",41.64358901977539,41.64358901977539,38.74,38.74,1.0,747.9200000000001,4
2,Default,model_prediction,4,4,"[0,1,1,2]",207.05,54.07677039011548,40.83,30.685358803569187,0.751539524946588,768.9800000000001,5
3,Default,model_prediction,0,2,"[0,0,0,2]",197.69,197.69,204.92,204.92,1.0,204.92,1
