test_num,repeat,algo,result,bw
27,6,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,6,Max_bw,"[8, 7, 6, 6]",99.18
27,7,myalgo,[1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 0],69.35
27,7,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0],99.18
27,7,Max_bw,"[8, 7, 6, 6]",99.18
27,9,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 0 1 1 0 1 1 1 1 1 1],69.35
27,9,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1],99.18
27,9,Max_bw,"[8, 7, 6, 6]",99.18
27,10,myalgo,[1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1],69.35
27,10,upper_BandDisp,[0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,10,Max_bw,"[8, 7, 6, 6]",99.18
27,11,myalgo,[1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 0],69.35
27,11,upper_BandDisp,[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 0 1 1 1 1],99.18
27,11,Max_bw,"[8, 7, 6, 6]",99.18
27,12,myalgo,[1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0],69.35
27,12,upper_BandDisp,[0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],99.18
27,12,Max_bw,"[8, 7, 6, 6]",99.18
27,13,myalgo,[1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1 1 1],69.35
27,13,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1],99.18
27,13,Max_bw,"[8, 7, 6, 6]",99.18
27,18,myalgo,[1 1 1 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0],69.35
27,18,upper_BandDisp,[0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1],99.18
